Rank,Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
33,2,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 243, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 5.248074602497723e-06, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.6056519787273493, 'accuracy': 0.7627705627705628}","[0.9090909090909091, 0.6666666666666666, 0.9047619047619048, 0.6190476190476191, 0.7619047619047619]",0.7722943722943723,2990359.0,3.484991216659546
34,1,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 175, 'num_layers': 1, 'dropout_rate': 0.2589962984989597, 'bidirectional': False, 'attention': True, 'learning_rate': 4.802834810708292e-06, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.6445417857423514, 'accuracy': 0.7922077922077921}","[0.9090909090909091, 0.6666666666666666, 0.9047619047619048, 0.9047619047619048, 0.47619047619047616]",0.7722943722943723,2021951.0,2.29549241065979
35,1,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 271, 'num_layers': 1, 'dropout_rate': 0.1371222368537677, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0001876403374634771, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5575794349988872, 'accuracy': 0.7246753246753246}","[0.9090909090909091, 0.6666666666666666, 0.9523809523809523, 0.9047619047619048, 0.42857142857142855]",0.7722943722943721,3417311.0,2.8684927463531493
36,3,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 2, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00021241256217051027, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5924996313960114, 'accuracy': 0.7341991341991341}","[0.9545454545454546, 0.5714285714285714, 0.8571428571428571, 0.9047619047619048, 0.5714285714285714]",0.7718614718614718,14115842.0,5.81767635345459
37,3,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 172, 'num_layers': 2, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0023848916247238222, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.4668137115247154, 'accuracy': 0.6497835497835498}","[0.6363636363636364, 0.6190476190476191, 0.9523809523809523, 0.9047619047619048, 0.7142857142857143]",0.7653679653679654,2695242.0,4.74388427734375
38,2,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 291, 'num_layers': 3, 'dropout_rate': 0.4262298914895598, 'bidirectional': True, 'attention': True, 'learning_rate': 0.003981071705534973, 'batch_size': 128, 'weight_decay': 1e-05, 'fitness': 0.5134948075490489, 'accuracy': 0.7073593073593074}","[0.6818181818181818, 0.6190476190476191, 0.9047619047619048, 0.8095238095238095, 0.8095238095238095]",0.7649350649350648,7808695.0,2.879907560348511
39,9,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.31343973974482664, 'bidirectional': False, 'attention': True, 'learning_rate': 7.741330418124608e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.6072227813633589, 'accuracy': 0.7632034632034632}","[0.7272727272727273, 0.7142857142857143, 0.9523809523809523, 0.9047619047619048, 0.5238095238095238]",0.7645021645021643,665794.0,1.6731357097625732
40,1,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 259, 'num_layers': 1, 'dropout_rate': 0.228167908169175, 'bidirectional': False, 'attention': True, 'learning_rate': 4.8197062990162016e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5356981430160264, 'accuracy': 0.716017316017316}","[0.7727272727272727, 0.6666666666666666, 0.9523809523809523, 0.9047619047619048, 0.5238095238095238]",0.7640692640692641,3231803.0,3.277048635482788
41,6,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 201, 'num_layers': 1, 'dropout_rate': 0.264111621274007, 'bidirectional': True, 'attention': True, 'learning_rate': 1.9952623149688786e-05, 'batch_size': 128, 'weight_decay': 1e-05}","[0.8636363636363636, 0.7142857142857143, 0.9523809523809523, 0.7619047619047619, 0.5238095238095238]",0.7632034632034632,2421449.0,1.6783426761627198
42,9,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 441, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00019262870678642783, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5637229821607723, 'accuracy': 0.7268398268398267}","[0.8636363636363636, 0.7142857142857143, 0.9047619047619048, 0.8571428571428571, 0.47619047619047616]",0.7632034632034632,6582809.0,4.176387071609497
