Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 1.7895316922827487e-05, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.5318910035388722, 'accuracy': 0.6956709956709957}","[0.9545454545454546, 0.6666666666666666, 0.9047619047619048, 0.6666666666666666, 0.5238095238095238]",0.7432900432900432,661378.0,2.4636615753173827
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 153, 'num_layers': 4, 'dropout_rate': 0.32643577105951394, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00011149604225865485, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5258333920208619, 'accuracy': 0.7056277056277056}","[0.6818181818181818, 0.38095238095238093, 0.9047619047619048, 0.9047619047619048, 0.47619047619047616]",0.6696969696969697,3423529.0,5.1029259204864506
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 186, 'num_layers': 1, 'dropout_rate': 0.4606539724045967, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00030000000000000014, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5169252000776371, 'accuracy': 0.7051948051948052}","[0.7727272727272727, 0.6190476190476191, 1.0, 0.5714285714285714, 0.7142857142857143]",0.7354978354978355,2171738.0,3.224028730392456
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 2, 'dropout_rate': 0.3569477011717493, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.5118304998752994, 'accuracy': 0.6987012987012987}","[0.9090909090909091, 0.6190476190476191, 0.6190476190476191, 0.6666666666666666, 0.5238095238095238]",0.6675324675324675,14113794.0,3.328496551513672
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 337, 'num_layers': 2, 'dropout_rate': 0.14835708948742712, 'bidirectional': True, 'attention': True, 'learning_rate': 4.152436465385058e-05, 'batch_size': 64, 'weight_decay': 1e-05, 'fitness': 0.49987054607929504, 'accuracy': 0.6874458874458875}","[0.9545454545454546, 0.5238095238095238, 0.9047619047619048, 0.5714285714285714, 0.7619047619047619]",0.7432900432900432,7225281.0,3.6816389560699463
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 135, 'num_layers': 1, 'dropout_rate': 0.4956530475037117, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.4981689911905657, 'accuracy': 0.6961038961038961}","[0.9090909090909091, 0.38095238095238093, 0.9047619047619048, 0.7142857142857143, 0.5238095238095238]",0.6865800865800866,1500391.0,3.075989532470703
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 217, 'num_layers': 1, 'dropout_rate': 0.43316821757293433, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0006060086981831171, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.45090960524612733, 'accuracy': 0.6692640692640692}","[0.9090909090909091, 0.5714285714285714, 0.9523809523809523, 0.9047619047619048, 0.5238095238095238]",0.7722943722943723,2607473.0,2.182065010070801
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 275, 'num_layers': 1, 'dropout_rate': 0.43347300136675765, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0006060086981831171, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.43229315211790487, 'accuracy': 0.6424242424242423}","[0.9090909090909091, 0.6190476190476191, 0.9047619047619048, 0.9047619047619048, 0.7142857142857143]",0.8103896103896103,3479851.0,2.90999059677124
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 340, 'num_layers': 1, 'dropout_rate': 0.4238320333998995, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00030000000000000014, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.42010127801013086, 'accuracy': 0.6402597402597403}","[0.9545454545454546, 0.6666666666666666, 0.6190476190476191, 0.7142857142857143, 0.5714285714285714]",0.7051948051948053,4545802.0,3.1608155250549315
2,2,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 2, 'dropout_rate': 0.30369231358102355, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00011057019129683256, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.39028871658470543, 'accuracy': 0.6225108225108225}","[0.9545454545454546, 0.42857142857142855, 0.9523809523809523, 0.5714285714285714, 0.7142857142857143]",0.7242424242424242,760706.0,3.712222862243652
